"workerId","batch","condition","baseline","award_value","exchange","start_means","total_bonus","duration","numeracy","gender","age","education","chart_use","accountValue","groundTruth","intervene","outcome","pAwardCurrent","pAwardNew","pAwardWith","pAwardWithout","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",72.25,0.525,0,"True",NA,NA,0.5353322,0.5,50,2.25,1567359142.268,1567359120.829,"4",21.4389998912811,"1"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",73.5,0.963,1,"True",NA,NA,0.9943283,0.5,70,1.25,1567359156.443,1567359146.212,"5",10.2310001850128,"13"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",74.75,0.922,1,"True",NA,NA,0.9778051,0.5,50,1.25,1567359171.563,1567359160.262,"6",11.300999879837,"11"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",77,0.8,0,"True",NA,NA,0.8830224,0.5,30,2.25,1567359190.791,1567359175.273,"7",15.5179998874664,"5"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",74.75,0.5,0,"False",NA,NA,0.5,0.5,40,-2.25,1567359208.097,1567359194.204,"8",13.8929998874664,"0"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",76,0.946,1,"True",NA,NA,0.9886527,0.5,80,1.25,1567359223.309,1567359212.147,"9",11.1619999408722,"12"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",77.25,0.873,1,"True",NA,NA,0.9465786,0.5,60,1.25,1567359238.023,1567359226.157,"10",11.8659999370575,"8"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",78.5,0.84,1,"True",NA,NA,0.9200053,0.5,70,1.25,1567359254.773,1567359241.764,"11",13.0090000629425,"6"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",79.75,0.843,1,"True",NA,NA,0.9231176,0.5,50,1.25,1567359271.503,1567359258.392,"12",13.1110000610352,"7"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",81,0.975,1,"True",NA,NA,0.9972127,0.5,80,1.25,1567359289.019,1567359275.083,"13",13.9360001087189,"14"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",82.25,0.9,1,"True",NA,NA,0.9650368,0.5,60,1.25,1567359317.196,1567359309.64,"14",7.55599999427795,"10"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",84.5,0.784,0,"True",NA,NA,0.8665552,0.5,40,2.25,1567359328.642,1567359320.32,"15",8.32200002670288,"4"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",85.75,0.622,1,"True",NA,NA,0.6691917,0.5,60,1.25,1567359410.23,1567359388.777,"16",21.4530000686646,"2"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",85.75,0.873,0,"False",NA,NA,0.9465786,0.5,40,0,1567359422.895,1567359413.932,"17",8.96300005912781,"8"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",85.75,0.946,0,"False",NA,NA,0.9886527,0.5,30,0,1567359438.355,1567359426.766,"18",11.5889999866486,"12"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",87,0.709,1,"True",NA,NA,0.7822155,0.5,60,1.25,1567359450.84,1567359442.054,"19",8.78600001335144,"3"
"02d588a9",3,"HOPs",0.5,2.25,0.2,"False",3,753.074000120163,10,"F","35-44","Master's degree","Monthly or less",88.25,0.963,1,"True",NA,NA,0.9943283,0.5,70,1.25,1567359463.19,1567359453.987,"20",9.20300006866455,"13"
