"workerId","batch","n_trials","n_data_conds","condition","baseline","es_threshold","start_means","award_value","starting_value","exchange","cutoff","max_bonus","total_bonus","duration","numeracy","gender","age","education","chart_use","difficulties","accountValue","groundTruth","intervene","outcome","pAwardWith","pAwardWithout","pSup","payoff","respTime","sdDiff","startTime","trial","trialDur","trialIdx"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",109.95,0.754,0,"False",0.83415,0.5,50,0,1569958961.735,15,1569958945.5,"3",16.2349998950958,"13"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",113.12,0.912,0,"True",0.97206,0.5,50,3.17,1569958980.997,5,1569958964.513,"4",16.4839999675751,"7"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",116.29,0.95,0,"True",0.99,0.5,75,3.17,1569959007.876,5,1569958990.212,"5",17.6640000343323,"8"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",119.46,0.611,0,"True",0.65464,0.5,50,3.17,1569959017.465,5,1569959012.98,"6",4.48499989509583,"2"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",122.63,0.849,0,"True",0.92787,0.5,70,3.17,1569959030.462,5,1569959021.782,"7",8.67999982833862,"6"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",125.8,0.611,0,"True",0.65464,0.5,50,3.17,1569959045.868,15,1569959040.866,"8",5.00200009346008,"10"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",127.97,0.999,1,"True",0.99999,0.5,100,2.17,1569959052.759,15,1569959048.833,"9",3.92600011825562,"17"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",130.14,0.95,1,"True",0.99,0.5,75,2.17,1569959064.855,15,1569959057.512,"10",7.34299993515015,"16"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",130.14,0.668,0,"False",0.73088,0.5,50,0,1569959073.56,5,1569959067.57,"11",5.99000000953674,"3"
"a9717db2",3,34,18,"intervals",0.5,0.9,"False",3.17,107.78,0.08,150,3,1.04,597.161999940872,9,"M","25-34","High school diploma or GED","Monthly or less","everything was fine.",130.14,0.55,0,"False",0.57053,0.5,50,0,1569959083.41,5,1569959076.69,"12",6.72000002861023,"1"
